file_name,answer
17359.wav,오 분 후에 타이머 꺼지고 나서 전원 안 들어오는지 확인해 봐
17360.wav,운전자 일 모드 설정 어떻게 돼 있나 궁금해
17361.wav,가스 밸브 전원을 끌게
17362.wav,비상등 지금 켜 봐
17363.wav,거실이 가장 어두울 수 있도록 설정해 줘
17364.wav,거실 조명 대신 켜 줘
17365.wav,안방 조명 최소로 설정 가능한지 알아 봐 줄래
17366.wav,히터 켜서 따뜻하게 좀 부탁해
17367.wav,비상 깜빡이 턴 온
17368.wav,뒷자리 차 문 닫고 출발하자
17369.wav,홈카메라에 앞으로 얼마나 더 저장할 수 있나 말해 봐
17370.wav,차 문 다 닫고 왔나 확인해 봐
17371.wav,거실하고 내 방 컴퓨터 플러그 위치 알려 줘
17372.wav,다용도실에 불 꺼져 있는지 확인해 줄래
17373.wav,가스 나오게 해 줘
17374.wav,에어컨 온도 평균 이십 도로 맞춰 줘
17375.wav,컴퓨터 전원 틀어서 창 띄워 주라
17376.wav,현재 상태 일 번 세팅으로 저장
17377.wav,조명등 전부다 한 단계 떨어트려 줘
17378.wav,지금부턴 로봇 청소기 강력 모드로 돌려 줘
17379.wav,차량 블랙박스 이상 신호 없어요
17380.wav,보일러 가장 약하게 해 놔야 해
17381.wav,에어컨 강도 최저로 바꿔 줄래
17382.wav,땀이 날 것 같으니까 에어컨 온도 좀 낮게 틀어 봐
17383.wav,부엌에 있는 전체 조명 중에 제일 밝은 곳 알려 줘
17384.wav,보일러 아주 뜨거우니깐 한 단계 낮춰
17385.wav,블랙박스 문제없는지 확인해 줘
17386.wav,우리 집 모든 구역 환하게 밝혀 줘
17387.wav,두 번째로 단계 설정해
17388.wav,기름 남은 양이 얼마인지 체크할 수 있어
17389.wav,차량 빨리 데우게 히터 온도 최대로 끓어 올려
17390.wav,현관 보안 장치 시작
17391.wav,선풍기 콘센트 어디서 쓰고 있지
17392.wav,시트 온도를 내려요
17393.wav,홈카메라 사용 내역 좀 알아 볼래
17394.wav,오늘처럼 맑은 날씨에는 안방 조명 최저로 맞춰 놔 줘
17395.wav,주간에 시동 거는 시간 예약해 둘래
17396.wav,물걸레 모드로 전환해서 부엌 바닥 닦아 줘
17397.wav,히터 사용 완료
17398.wav,자동차 내부 카메라로 찍힌 영상 있으면 보여 줘
17399.wav,날씨 추우면 미리 히터부터 켜
17400.wav,주간에 시동 거는 시간 예약해 둘래
17401.wav,혹시 엔진 오일 다음엔 언제 바꿔
17402.wav,차량 앞뒤 블랙박스 다 보여 줘
17403.wav,아침 열 시에는 전원 내려가게 설정 부탁해
17404.wav,에어컨 바람이 최대가 되게 틀어 줘
17405.wav,통풍 시트 기능 있니
17406.wav,차 탈거니까 시동 좀 켜 줄래
17407.wav,안방 불은 열두 시간에 키도록 설정해 줘
17408.wav,차 문 전부 열렸는지 알려 주게
17409.wav,아침이니까 보일러 온도 내려
17410.wav,안방 조명 이 단계 변환
17411.wav,홈 카메라 용량 얼마나 남아 있는지 확인해 줘
17412.wav,지금 순화 모드 킬 수 있어
17413.wav,조수석 시트 앞으로 조금 당겨 줘
17414.wav,에어컨 온도 최저 온도로 맞춰 줘
17415.wav,타이머로 오 분 뒤에 거실 선풍기 오프할게
17416.wav,거실 조명 대신 켜 줘
17417.wav,운전자 모드 설정 확인 시켜 줘
17418.wav,구매 목록 내역 확인시켜 줘
17419.wav,홈 카메라 현재까지 돌아가고 남은 저장 용량 얼마야
17420.wav,내 차량 위치 한번 검색 부탁해
17421.wav,에어컨 일 단계로 설정하겠어
17422.wav,청소를 잘하게 로봇 청소기 삼 단계로 올려 줄래
17423.wav,거실 조명 더 키워 줘
17424.wav,에어컨 어느 방에 있어
17425.wav,경적 온 시켜
17426.wav,조수석 차 문 좀 닫아주도록
17427.wav,부모님 지금 집 현관문 닫고 가셨는지 확인해 줘
17428.wav,오늘 홈카메라 사용 몇 시간 했는지 알려 줄래
17429.wav,거실 조명 좀 제일 작게 해 줘
17430.wav,차 시동 미리 켜 둬야겠어
17431.wav,운전자 일 세팅 다시 해 줘
17432.wav,차에 사람 타면 에어컨 온도 좀 이십 도에 맞춰 주라
17433.wav,약간 추워졌는데 에어컨 삼 도만 올려 볼까
17434.wav,보일러 따뜻하게 온도 올려
17435.wav,안방 창문 쪽에 있는 조명 단계 하나 높여 줘
17436.wav,차량 블랙박스 녹화 영상 특이사항 알려 줘
17437.wav,집에 곧 가니까 현관문 잠금 해제해 줘
17438.wav,안방 조명 이 레벨로 조정해 줘
17439.wav,전등 조절기 전부 다 최고 단계로 설정해 줘
17440.wav,전깃불 다 켜 줘
17441.wav,현관문 열어 뒀던가요
17442.wav,집 에어컨 위로 향하게 해주렴
17443.wav,시동 건 상태 유지해라
17444.wav,평일 아침에는 일곱 시에 시동 미리 켜 주세요
17445.wav,전원 플러그 어디 방에 있어
17446.wav,내부 순환 모드 다시 재가동 시켜 줘
17447.wav,에어컨 전원 좀 켜봐
17448.wav,엔진오일 교체 언제 해야 할지 가르쳐 줘
17449.wav,비오니까 운전석 창문 좀 닫아 줘
17450.wav,차량 어디 뒀는지 확인해 줘
17451.wav,안방 조명 최대 밝기로 바꾸고 내버려 둬 줘
17452.wav,조수석 쪽 창문 잘 내려지는지 봐 줘
17453.wav,조명 전원 켜고 싶어
17454.wav,가스 밸브 개방해 줘
17455.wav,여섯 시 되면 주방 보일러 켜 줘
17456.wav,에어컨 파워 냉방으로 켜 줘
17457.wav,홈카메라가 어디 어디 있는지 탐색해
17458.wav,안방 전등 지금 밝기 몇 단계야
17459.wav,안방 조명 위치는 어떻게 돼
17460.wav,지난번 엔진 오일 교체한 날짜 알고 싶어
17461.wav,자동차 경적 이 초간 울려 줘
17462.wav,조명 전원 켜고 싶어
17463.wav,어디 플러그가 지금 연결되어 있는 거니
17464.wav,로봇 청소기 지금보다 강했으면 좋겠어
17465.wav,옆에 자리 따뜻하게 해 줘
17466.wav,뒷자리에 열려 있는 문 있어
17467.wav,식품 주문서가 어디 있던가
17468.wav,안방 조명기구들 전부 다 일단으로 바꿔
17469.wav,시트 온도 제어 가능해
17470.wav,조수석 시트에 바람 잘 통할 수 있게 해 줘
17471.wav,미세먼지 때문에 내기로 송풍 모드 시작해
17472.wav,보일러 온도 너무 낮을 거 같아서 올리고 싶어
17473.wav,홈카메라가 저장할 수 있는 용량이 궁금한데 알려 줄래
17474.wav,에어컨 전원 지금 당장 켜 줘
17475.wav,조수석에 시트 올려 줘
17476.wav,전체 조명 위치 좀 정확히 알려 줘
17477.wav,조수석 윈도우 다 닫아 줘
17478.wav,운전석 옆 차 문 열어 줄래
17479.wav,안방 창문 쪽에 있는 조명 단계 하나 높여 줘
17480.wav,홈카메라 위치 정보 탐색 시작할래
17481.wav,최근 주차모드에 블랙박스 영상 녹화되어 있지
17482.wav,조명 전부 가장 작게 밝기 설정해
17483.wav,에어컨 강도 최저로 바꿔 줄래
17484.wav,식료품 주문 상태 표시해
17485.wav,집 보일러 온도 가장 높아지게 틀어 줘
17486.wav,안방 불은 열두 시간에 키도록 설정해 줘
17487.wav,안방 조명 절약 모드 해제하고 제일 높게 해
17488.wav,안방 조명 중 꺼져 있는 것들 파악해 줘
17489.wav,히터 바람 살짝 위로 조절해
17490.wav,전원 타이머 세부 기능 알려 줘
17491.wav,에어컨 더 차갑게 해 줘
17492.wav,내 차 있는 곳 알았으니 경적음 좀 꺼 봐
17493.wav,오늘 충격 감지 녹화된 게 있어
17494.wav,시동 그냥 그대로 유지해
17495.wav,물걸레가 되는 모드로 로봇 청소기 켜 줘
17496.wav,전원 플러그가 사용되고 있는 콘센트 찾아 줘
17497.wav,운전석 창 닫긴 건지 확인해 줘
17498.wav,주문한 식료품 내역 보여 줘
17499.wav,집에 가스 밸브 좀 두 시간 뒤에 닫아 주길 바라
17500.wav,운전자 일 모드에 문 잠금 추가
17501.wav,보일러 지금 단계보다 하나만 낮춰 줘
17502.wav,안방 불 열두 시간 있다 밝게 해 줘
17503.wav,주간에 시동 거는 시간 예약해 둘래
17504.wav,운전 끝 시동 꺼 줘
17505.wav,현재 단계보다 하나 내려 줘
17506.wav,타이머 시간을 이십 분으로 한 다음 에어컨 꺼 줘
17507.wav,에어컨 어느 방에 있어
17508.wav,단계 내려서 로봇 청소기 청소 시켜 줄래
17509.wav,에어컨 강풍으로 계속 틀어라
17510.wav,안방 불들 다 없애 줘
17511.wav,안방 조명만 따로 켜 줘
17512.wav,에어컨 틀어 줄래
17513.wav,열선 시트 계속 켜 놔줘
17514.wav,물걸레가 되는 모드로 로봇 청소기 켜 줘
17515.wav,일 단계로 계속 로봇 청소기 돌려 줘
17516.wav,한 시간 뒤에 전원 켜야 하니깐 설정해 놔
17517.wav,거실 조명 켜고 나왔어
17518.wav,엔진 오일 언제쯤에 갈면 될까
17519.wav,안개 꼈으니까 비상등 좀 켜 줄래
17520.wav,뒷문 폐쇄해
17521.wav,에어컨 바람 위쪽으로 하자
17522.wav,가스 밸브 현 상태 확인해 줘
17523.wav,선풍기 타이머 작동시켜서 선풍기 틀어 놔
17524.wav,운전자 일 모드로 변경해 주라
17525.wav,엔진오일 언제 갈아야 좋아
17526.wav,거실 조명 켜고 나왔어 네가 좀 꺼 줘
17527.wav,에어컨 온도 너무 낮지 않게 올려 줘
17528.wav,너무 추운데 에어컨 단계 바꿔 줘
17529.wav,스위치 올라간 조명 위치 알려 줘
17530.wav,지난번 엔진 오일 교체 한 날짜 알고 싶어
17531.wav,차 어디 주차되어 있어
17532.wav,보일러 설정 세 번째로 해 줘
17533.wav,눈부시니까 실내에 보조 등만 켜
17534.wav,오늘 충격 감지 녹화된 거 있어
17535.wav,현재 남은 거리 어떻게 돼
17536.wav,엔진오일 언제 바꾸는지 띄워
17537.wav,컴퓨터 딱 한 시간만 틀어 줘
17538.wav,홈카메라 저장 용량 꽉 찼어
17539.wav,가스 밸브 타이머 삼십 분 켜 줘
17540.wav,지금 기름 얼마 남았어
17541.wav,거실 조명은 매일 일 단계에 있어야 해
17542.wav,전체 문 다 관건 해
17543.wav,엔진오일 교체일 오래됐어
17544.wav,문 잠글래
17545.wav,컴퓨터 딱 한 시간만 틀어 줘
17546.wav,도대체 얼마나 더 가야 집에 도착하니
17547.wav,안방 조명 밝기는 최대한 커야 해
17548.wav,지금 히터 필요해
17549.wav,컴퓨터 플러그를 내가 어디에 꽂았는지 찾고 싶어
17550.wav,히터 온도 좀 낮춰봐라
17551.wav,할 일 있으니까 컴퓨터 켜
17552.wav,조수석 문 옆 차에 안 닿게 조심히 열어 줘
17553.wav,엔진 오일 갈려면 얼마나 남았어
17554.wav,운전자 모드 엄마로 세팅해 줘
17555.wav,운전석 창 닫긴 건지 확인해 줘
17556.wav,운전석 창 좀 끝까지 올려 줘
17557.wav,경적 좀 크게 올려 줘 봐
17558.wav,주말은 됐고 늘 이 시간에 시동 예약해 줘
17559.wav,평일마다 아침 여덟 시에 시동 걸어 놔
17560.wav,요번 주 세팅으로 주간 예약 재설정해 줘
17561.wav,에어컨 전원 지금 당장 켜 줘
17562.wav,히터 이젠 안 켜도 돼
17563.wav,열 시부터 아침 여섯 시까지 가스 밸브 차단 설정해
17564.wav,집에 선풍기 플러그 위치 찾아볼래
17565.wav,듣기 불쾌하니까 경적음 꺼 줘
17566.wav,식료품 주문 내역서 체크
17567.wav,지금부터 에어컨 최대한 세게 틀어 줘
17568.wav,비상등 지금 켜 봐
17569.wav,가스 밸브 자동으로 삼십 분 뒤 잠가
17570.wav,마지막으로 엔진오일 갈았던 날이 언제지
17571.wav,내 차 주차장 어디에 있어
17572.wav,안방 조명 전원 온 해
17573.wav,엔진오일 마지막으로 교체 한 날짜 표시해 줘
17574.wav,따듯한 열선 기능 부탁할게
17575.wav,집에 에어컨 몇 개 있지
17576.wav,아침 여덟 시에 차 시동 좀 예약해 놓도록
17577.wav,매일 항상 똑같은 시간에 차량 시동 예약해 줄래
17578.wav,삼십 분 후에 가스 밸브 사용 중단해 줘
17579.wav,안방 불 열두 시간 있다가 밝게 해 줘
17580.wav,거실 조명 좀 제일 작게 해 줘
17581.wav,현재 차량 위치 좌표 읽어 줘
17582.wav,컴퓨터 전원을 딱 오 분 후에 내려 줄래
17583.wav,보일러 이십사 도 맞춰 주세요
17584.wav,시트 온도 설정 바꿔라
17585.wav,혹시나 가스가 셀 수 있으니 가스 밸브 잠가 놔
17586.wav,시트 온도를 내려요
17587.wav,홈카메라 위치를 좀 찾아줬으면 해
17588.wav,사람들이 앉기 전에 열선 시트 미리 틀어 줘
17589.wav,옆 좌석 히터 세기 좀 올려 줘
17590.wav,운전석 창문 좀 다 내려 봐
17591.wav,에어컨 단계 삼으로 설정해 줘
17592.wav,엔진 오일 교체일 며칠이었지
17593.wav,보일러 설정 세 번째로 해 줘
17594.wav,집 전체 조명 밝기 이 단계로 부탁한다
17595.wav,전체 플러그 위치 알려 줄래
17596.wav,시트가 차가워
17597.wav,전원 플러그 타이머 언제 끝나
17598.wav,현관문 잠금 상태 전송 부탁할게
17599.wav,거실 조명 중에서 꺼져 있는 조명이 어디인지 알려 줘
17600.wav,안방에 빠진 곳 없이 다 불 켜
17601.wav,로봇 청소기 지금보다 강했으면 좋겠어
17602.wav,비상등 점멸 부탁해
17603.wav,내부 시시티브이 영상 재생해
17604.wav,시동 대기 상태로 있어
17605.wav,엔진오일 교체 시기 알려 줘
17606.wav,주문 내역서 확인해서 양파 샀나 알려 줘
17607.wav,홈카메라 기록 내역 움직임 감지된 부분 알려 줘
17608.wav,집에 가는 길이야 십 분 뒤에 현관문 잠금 해제해 줘
17609.wav,운전석 창문 문제없지
17610.wav,로봇 청소기 지금 어디 돌아다니는 중이야
17611.wav,한 시간 뒤에 밸브 좀 록 해
17612.wav,날씨 추우면 미리 히터부터 켜
17613.wav,쌀쌀하니 전체 창문 전부 올려 주겠니
17614.wav,에어컨 설정 들어가서 최대로 바꿔 놔
17615.wav,트렁크 빼고 다 열어
17616.wav,엔진오일 교체일 재확인 부탁해
17617.wav,우리 집 에어컨 미풍으로 켜라
17618.wav,곧 도착하니까 이 분 후에 집 조명 켜 줘
17619.wav,차량 블랙박스 틀어 줘
17620.wav,거실 에어컨이 어디에 위치하고 있는지 아니
17621.wav,나 주차시키면 온도 삼 단계로 바꿔
17622.wav,시속 육십 킬로 넘으면 모든 문 잠가
17623.wav,십 분 뒤에 리빙 라이트 온
17624.wav,혹시 내 엔진오일 교체일 알아
17625.wav,거실 조명 어디가 불 안 들어와 있어
17626.wav,온 오프 할 수 있는 조명 어디인지 알려 줘
17627.wav,거실 조명 켜고 나왔어
17628.wav,내 차량 위치 한번 검색 부탁해
17629.wav,엔진오일 갈 날 확인해
17630.wav,집에 불을 잘 끄고 나온 건지 확인해 줘
17631.wav,차 어딨는지 알았으니 이제 그만 경적 꺼 봐
17632.wav,안방 조명 전원 아침에 꺼 줘
17633.wav,더운데 에어컨 온도 내려 줄래
17634.wav,로봇 청소기 단계 설정 하나만 높여라
17635.wav,차량 히터 온도 적당히 틀어 놔 줘
17636.wav,목적지 도착 전에 로봇 청소기 청소 모드 끝내
17637.wav,열선 시트 불 틀어 줄래
17638.wav,수요일에 찍힌 블랙박스 영상 보여 줘
17639.wav,엔진 오일 교체 예상일 아직 멀었지
17640.wav,발 쪽으로만 송풍 모드
17641.wav,나올 때 조명 끄는 걸 깜박했어 대신 꺼 줘
17642.wav,뒷자리 차 문 꽉 닫아 줄래
17643.wav,빨리 안방 불 좀 끄자
17644.wav,거실 안에 전등 다 켜
17645.wav,차량 시동 온 모드로 설정 부탁해
17646.wav,운전석 창문 좀 다 내려 봐
17647.wav,조수석 차 문 살살 닫아
17648.wav,뒤쪽 문 오픈해
17649.wav,구매 목록 리스트 좀 보고 싶은데
17650.wav,거실의 조명을 전부 최저 수준으로 낮추세요
17651.wav,차 세차하게 전체 창문 올려
17652.wav,시동석 창문 반만 닫아 줘
17653.wav,혹시 내 식료품은 어디쯤 오고 있어
17654.wav,현관문 열려 있는 거 같은데 한 번 확인해 주겠니
17655.wav,식료품 배송 상황 확인해 줘
17656.wav,단계 내려서 로봇 청소기 청소 시켜 줄래
17657.wav,조수석 시트 세워 줘
17658.wav,자동차 경적 이 초간 울려 줘
17659.wav,반려동물 맞춤 모드로 바꿔 줘
17660.wav,안방 조명 이 단계로 바꿔 설정해 줘
17661.wav,아이 학교 가는 시간에 시동 걸어 놔 줘
17662.wav,지금 스위치 내려가 있는 조명 어디 있어
17663.wav,에어컨 온도 높여 놔
17664.wav,운전자 일은 차량 세팅을 어떻게 했는지 궁금해
17665.wav,히터 켜달라고 할 때까지 꺼 줘
17666.wav,너무 어두운데 조명 단계 올려 줘
17667.wav,지금 차량 송풍 모드 켜져 있으면 꺼 줘
17668.wav,집 도착하면 몇 시야
17669.wav,블랙박스에서 뭐 좀 나왔어
17670.wav,이틀 정도 집 비우니까 사십팔 시간 동안 전원 꺼놔
17671.wav,차 찾을 때까지 경적 좀 켜 줘
17672.wav,블랙박스 화면 띄워 봐
17673.wav,가스 지금 쓸 건데 밸브 열어 줘
17674.wav,비상등을 켜야겠어
17675.wav,컴퓨터 플러그 위치 여기 맞지
17676.wav,내부 시시티브이 점검 부탁할게
17677.wav,거실 조명 더 키워 줘
17678.wav,더운데 에어컨 온도 내려 줄래
17679.wav,차 시동 켤 준비 해 둬 줘
17680.wav,전체 차 문 잠금 설정값 나열해 줘
17681.wav,어제 오전 차량 내부 녹화 영상 보여 줘
17682.wav,식료품 배송 현황을 실시간으로 추적해 줘
17683.wav,밖이 너무 덥네 통풍 시트 켜 줘
17684.wav,엔진오일 교체일 좀 얘기해 봐
17685.wav,잠긴 모든 창문 다 해제해도 돼
17686.wav,컴퓨터 플러그를 내가 어디에 꽂았는지 찾고 싶어
17687.wav,티브이 위쪽에 거실 조명이 있어
17688.wav,주방 에어컨 온도 올려 봐
17689.wav,에어컨 이십 도에 맞춰 틀어 줘
17690.wav,로봇 청소기 물걸레 모드로 마무리해
17691.wav,차량 내부 씨씨티브이 녹화자료 보여 줘
17692.wav,홈카메라 데이터 삭제한 적 있는지 알려 줘
17693.wav,실내 불 다 꺼졌는지 살펴 봐
17694.wav,집 안에 있는 플러그 모든 위치 말해 줘
17695.wav,보일러 가장 약하게 해 놔야 해
17696.wav,차 창문 전부 조금만 열어 줘
17697.wav,어제 동생이 차를 어디에다 세웠니
17698.wav,지금 설정으로 운전자 일 맞춰 줘
17699.wav,티브이 위쪽에 거실 조명이 있어
17700.wav,홈카메라 용량 크기 알려 줘
17701.wav,조수석 시트 스위치 켜 줄래
17702.wav,새로운 엔진오일로 언제 바꿀까
17703.wav,차량 히터 온도 적당히 틀어 놔 줘
17704.wav,지난주 주문 목록에 오예스 넣었나 봐 줘
17705.wav,집에 도착하면 안방 조명은 최고로 밝혀 놔 줘
17706.wav,리빙 라이트 한 시간 뒤에 온
17707.wav,주간 시동 예약 세 시로 해 줘
17708.wav,안방 조명이 각각 어디에 있지
17709.wav,전원 공급 중인 플러그 어디에 있는지 찾아 줘
17710.wav,직전에 엔진오일 갈았던 날 좀 알려 줘
17711.wav,답답해서 이제 히터 끄고 싶어
17712.wav,뒷자리 차 문 꽉 닫아 줄래
17713.wav,옆 차랑 닿지 않게 전체 차 문 다 열어 줘
17714.wav,뒷자리에 아무도 안타니까 잠가 놔
17715.wav,지금 시동석 창문 내려놓고 대기해
17716.wav,내 컴퓨터 전원 올려놔
17717.wav,엔진 운전 상태 유지해
17718.wav,거실 조명을 최소로 켜짐 해 줘
17719.wav,홈카메라 이용 내역 확인해 볼게
17720.wav,블랙박스 잘 돌아가는지 체크해
17721.wav,전체 조명 이 분 뒤에 스위치 온 해
17722.wav,가스 나오게 해 줘
17723.wav,내가 주문한 식료품 중에 품절된 거 있나
17724.wav,한 시간 후에 가스 막아 줘
17725.wav,거실하고 내 방 컴퓨터 플러그 위치 알려 줘
17726.wav,보일러 타이머에 아홉 시로 설정해 줘
17727.wav,내일 아침에 시동 예약해
17728.wav,엔진 오일 교체해야 하는 예상일 좀 보여 줘
17729.wav,에어컨 온도 알려 줘
17730.wav,안방 어둡지 않게 최고 단계로 설정해 줘
17731.wav,거실 조명 뭐 안 껐지
17732.wav,운전자 일 번 모드에서 열선 시트 꺼짐으로 설정 부탁해
17733.wav,조수석 차 문 좀 닫아주도록
17734.wav,식료품 주문한 거 어디까지 왔어
17735.wav,주중엔 오전 여덟 시에 시동 걸어놓아라
17736.wav,현관문 애들이 못 열도록 제대로 닫혔어
17737.wav,전체 차 문 확인해서 알려 줘
17738.wav,운전자 열선 시트 온도 삼도 낮춰 주라
17739.wav,식료품 배송 상태 알려 줄래요
17740.wav,식료품 주문 내역서 체크
17741.wav,로봇 청소기 벽면 구석 청소 모드 켜
17742.wav,해 졌으니깐 안방에 불 켜 놔
17743.wav,잠깐이면 돼 시동 계속 켜 줘
17744.wav,지금 기름 어느 정도 남아 있는지 체크해 줄래
17745.wav,안방 조명 전원 껐는지 알아봐 줄래
17746.wav,에어컨 한 시간 동안 가동해 주겠니
17747.wav,조수석 차 문 살살 닫아
17748.wav,지금 시동 켜진 거 안 꺼지게 해 줘
17749.wav,차 문 닫아 뒤에만
17750.wav,안방 조명 한 개라도 켜져 있는지 확인해 봐
17751.wav,집 형광등 전원 한 시간 후에 올려
17752.wav,너무 춥다 미리 열선 시트 켜 줘
17753.wav,나 아침에 출근할 때 시동 미리 켜 놔 줘
17754.wav,지금은 히터 필요 없을 거 같아
17755.wav,홈카메라에 앞으로 얼마나 더 저장할 수 있나 말해 봐
17756.wav,현관 도어락 잘 걸려있어
17757.wav,안방 조명 밝기는 최대한 커야 해
17758.wav,지금 조수석 문 닫아
17759.wav,식료품 주문 상황이 어때
17760.wav,타이머로 오 분 뒤에 거실 선풍기 오프할게
17761.wav,방금 온 만큼 더 가면 집 도착할 수 있어
17762.wav,시트 온도 올려 볼래
17763.wav,거실 조명 최소 단계로 낮춰 줘
17764.wav,지금 청소기 마루에서 청소하고 있어
17765.wav,물걸레가 되는 모드로 로봇 청소기 켜 줘
17766.wav,집에 불을 잘 끄고 나온 건지 확인해 줘
17767.wav,시동 켜지 마
17768.wav,내 차 주차장 어디에 있어
17769.wav,전체 창문 닫아서 비 막아 줘
17770.wav,집에 들어오기 전까지 차량 내부 녹화 영상 볼래
17771.wav,아침 일곱 시부터 시동 켜고 유지해 줘
17772.wav,얼른 시동 좀 꺼 봐
17773.wav,뒤에 문 닫고 싶어
17774.wav,청소시키게 로봇 청소기 위치 알려 줘
17775.wav,거실 조명 최소 단계로 낮춰 줘
17776.wav,식료품 배송 단계 확인해 줘
17777.wav,뒷좌석 문 모두 잠겨 있는지 알려 줘
17778.wav,로봇 청소기 어디에 있니
17779.wav,왼쪽 햇빛 때문에 눈부셔
17780.wav,한 시간 지난 후에 가스 밸브 좀 열어 줘
17781.wav,지금 모든 좌석 통풍을 이 단계로 조정해 줘
17782.wav,엔진오일 이번 달 교체 예상일이 언제야
17783.wav,전체 조명 적당히 중간 단계로 맞춰 줘
17784.wav,거실 조명 대신 켜 줘
17785.wav,시트 통풍되도록 켜볼래
17786.wav,조수석 문 옆 차에 안 닿게 조심히 열어 줘
17787.wav,전원 플러그 중에 켜져 있는 게 뭐야
17788.wav,선풍기 플러그 사구짜리 콘센트 어디에 꽂혀 있는지 알려 줘
17789.wav,언제 수리 센터 가서 엔진오일 교체해야 하는지 알려 줘
17790.wav,십 분 후 전원 타이머 꺼지게 해놔
17791.wav,거실 불 일 단계 부탁해
17792.wav,지금 식기세척기 켜서 내가 집에 가기 전까지 세척 시작해
17793.wav,열선 시트 꺼도 돼요
17794.wav,여덟 시로 주간 시동 예약 부탁해
17795.wav,주말엔 운동하러 가는 시간에 맞춰서 시동 켜 놔
17796.wav,매일 보일러는 여섯 시에 틀어지게 설정해 줘
17797.wav,잘 안 보이니 비상등 좀 켜라
17798.wav,어제 주문한 식료품 명세 확인 가능할까
17799.wav,차에 시동 좀 걸어 주렴
17800.wav,거실에 있는 보일러 전원만 켜 줘
17801.wav,컴퓨터 플러그 위치 여기 맞지
17802.wav,홈카메라 남은 저장 용량 화면에 띄워 줘
17803.wav,좌석 창문 전부 다 활짝 열어 봐
17804.wav,물걸레 모드로 로봇 청소기 스타트
17805.wav,홈카메라 위치 공유 부탁해
17806.wav,오늘 충격 감지 녹화된 게 있어
17807.wav,가스 밸브 한 시간 리밋 걸어 놔
17808.wav,경적 소리 길게 들려 줘
17809.wav,어제 블랙박스 녹화 기록 틀어 줘
17810.wav,평일 아침에는 일곱 시에 시동 미리 켜 주세요
17811.wav,네가 컴퓨터 전원 한 시간 뒤에 내려 줘
17812.wav,송풍 모드로 온 부탁해
17813.wav,삼 번 세팅에 에어컨 추가해 줘
17814.wav,현관문 잠금으로 바뀌어있는지 확인 좀
17815.wav,운전자 일 모드 설정값 알려 줘
17816.wav,세 시간 후 에어컨 꺼짐 예약해 줘
17817.wav,히터 켜주실래요
17818.wav,전체 조명 레벨 최대로 키워
17819.wav,전체 차 문 개폐 상태 확인해 줘
17820.wav,집 최대한 뜨겁게 해 줘
17821.wav,엔진 오일 마지막으로 교체 한 날짜 표시해 줘
17822.wav,전체 차 문 잠금 설정값 나열해 줘
17823.wav,거실이 가장 어두울 수 있도록 설정해 줘
17824.wav,아기가 깨니까 로봇 청소기 일 단계로만 돌려 줘
17825.wav,통근 시간에 맞는 시동 시간 설정 조정 좀 해 주라
17826.wav,한 시간 전 씨씨티브이 녹화 확인하고 싶어
17827.wav,내부 순환 모드 그만 꺼도 돼
17828.wav,로봇 청소기 단계는 삼 단계로 켜
17829.wav,운전 끝 시동 꺼 줘
17830.wav,여기에서 도착지점까지 얼마나 더 가야 하는 거니
17831.wav,한 시간 전 씨씨티브이 녹화 확인하고 싶어
17832.wav,지난 금요일에 우유 시켰었나 알려 줘
17833.wav,조수석 자리 창문 빨리 열어 줘
17834.wav,송품 모드 작동 멈춰
17835.wav,히터 바람 켤 수 있게 해 줘
17836.wav,에어컨 온도 끝까지 내려서 최대한 온도 내려가게 해 줘
17837.wav,엔진 오일 언제쯤에 갈면 될까
17838.wav,가스 밸브 잠금이 필요해
17839.wav,아기가 깨니까 로봇 청소기 일 단계로만 돌려 줘
17840.wav,거실에 있는 보일러 전원만 켜 줘
17841.wav,식료품 배송 업체명이 뭐야
17842.wav,내일 아침에 시동 예약해
17843.wav,거실 최고 밝기로 바꿔
17844.wav,운전자 일에서 시동은 운전자가 키도록 변경할게
17845.wav,차에 사람 타면 에어컨 온도 좀 이십 도에 맞춰 주라
17846.wav,에어컨 온도를 올릴까
17847.wav,내무 순환 모드로 변경해 줘
17848.wav,열선 시트에 전원 넣어 봐
17849.wav,자리 전체 통풍 켜 줘
17850.wav,엔진오일 바꾼 날짜 보기
17851.wav,차 문들 싹 다 열어 줘
17852.wav,엔진오일 언제 바꾸는지 띄워
17853.wav,에어컨 강도 최저로 바꿔 줄래
17854.wav,시동부터 켜 줘
17855.wav,평일 아침에 일곱 시에 시동 미리 켜 주세요
17856.wav,미팅 끝나면 바로 갈 수 있게 차 시동 걸어 줘
17857.wav,차량 시동 꺼졌는지 알려 줘
17858.wav,지금 더워서 그런데 히터 조금만 약하게 해 줘
17859.wav,홈 카메라 위치를 좀 찾아줬으면 해
17860.wav,실내 온도가 이십이 도가 되게 계속 틀어 놔
17861.wav,목적지에 도착하면 조수석 창문 다 닫아 줘
17862.wav,통풍 시트 조수석 것도 좀 틀어 봐
17863.wav,거실 조명 대신 켜 줘
17864.wav,운전석 옆 차 문 열어 줄래
17865.wav,전체 창문 더 내려
17866.wav,차량 블랙박스 이상 신호 없어요
17867.wav,시동 대기 상태로 있어
17868.wav,안방 조명이 각각 어디에 있지
17869.wav,매일 오후 두 시에 시동 예약하고 싶어요
